スキャン番号: 244, ロボットのxは-1.906930, yは0.231501, thetaは-76.120848
スキャン番号: 245, ロボットのxは-1.906389, yは0.229606, thetaは-71.300780
スキャン番号: 246, ロボットのxは-1.906073, yは0.228751, thetaは-65.276205
スキャン番号: 247, ロボットのxは-1.904208, yは0.225426, thetaは-61.928523
スキャン番号: 248, ロボットのxは-1.895960, yは0.213843, thetaは-55.518840
スキャン番号: 249, ロボットのxは-1.855845, yは0.166587, thetaは-44.822250
スキャン番号: 250, ロボットのxは-1.795124, yは0.115796, thetaは-32.592701
スキャン番号: 251, ロボットのxは-1.668882, yは0.070061, thetaは-28.135774
スキャン番号: 252, ロボットのxは-1.600139, yは0.035692, thetaは-26.190732
スキャン番号: 253, ロボットのxは-1.437232, yは-0.041720, thetaは-26.131840
スキャン番号: 254, ロボットのxは-1.346902, yは-0.123423, thetaは-28.107626
スキャン番号: 255, ロボットのxは-1.252283, yは-0.172712, thetaは-30.326268
スキャン番号: 256, ロボットのxは-1.195240, yは-0.201549, thetaは-30.082813
スキャン番号: 257, ロボットのxは-1.119097, yは-0.269623, thetaは-24.843722
スキャン番号: 258, ロボットのxは-1.031140, yは-0.303017, thetaは-24.129075
スキャン番号: 259, ロボットのxは-0.979491, yは-0.330447, thetaは-32.445805
スキャン番号: 260, ロボットのxは-0.961739, yは-0.332802, thetaは-34.225631
スキャン番号: 261, ロボットのxは-0.967949, yは-0.330382, thetaは-24.507591
スキャン番号: 262, ロボットのxは-0.976686, yは-0.327083, thetaは-18.728951
スキャン番号: 263, ロボットのxは-0.978641, yは-0.326436, thetaは-14.054207
スキャン番号: 264, ロボットのxは-0.975596, yは-0.326988, thetaは-5.317625
スキャン番号: 265, ロボットのxは-0.967329, yは-0.325904, thetaは-2.360760
スキャン番号: 266, ロボットのxは-0.964522, yは-0.325908, thetaは3.894326
スキャン番号: 267, ロボットのxは-0.963801, yは-0.325828, thetaは5.052248
スキャン番号: 268, ロボットのxは-0.965428, yは-0.325989, thetaは6.423934
スキャン番号: 269, ロボットのxは-0.965773, yは-0.325813, thetaは10.504709
スキャン番号: 270, ロボットのxは-0.967326, yは-0.326089, thetaは16.042477
スキャン番号: 271, ロボットのxは-0.963514, yは-0.324429, thetaは20.654665
スキャン番号: 272, ロボットのxは-0.953342, yは-0.314095, thetaは30.648925
スキャン番号: 273, ロボットのxは-0.925839, yは-0.249401, thetaは36.319679
スキャン番号: 274, ロボットのxは-0.881486, yは-0.195896, thetaは41.534452
スキャン番号: 275, ロボットのxは-0.818243, yは-0.098987, thetaは47.773166
スキャン番号: 276, ロボットのxは-0.757254, yは-0.052088, thetaは48.287415
スキャン番号: 277, ロボットのxは-0.700616, yは0.014951, thetaは48.627306
スキャン番号: 278, ロボットのxは-0.649392, yは0.052489, thetaは48.151204
スキャン番号: 279, ロボットのxは-0.607018, yは0.103216, thetaは46.791204
スキャン番号: 280, ロボットのxは-0.525071, yは0.186845, thetaは46.892599
スキャン番号: 281, ロボットのxは-0.458429, yは0.265048, thetaは48.795429
スキャン番号: 282, ロボットのxは-0.393968, yは0.331977, thetaは51.197153
スキャン番号: 283, ロボットのxは-0.302767, yは0.466117, thetaは54.889570
スキャン番号: 284, ロボットのxは-0.255828, yは0.536544, thetaは56.327269
スキャン番号: 285, ロボットのxは-0.211589, yは0.624015, thetaは58.319463
スキャン番号: 286, ロボットのxは-0.188866, yは0.707561, thetaは61.421961
スキャン番号: 287, ロボットのxは-0.160468, yは0.762339, thetaは65.521686
スキャン番号: 288, ロボットのxは-0.121625, yは0.817502, thetaは69.277493
スキャン番号: 289, ロボットのxは-0.105395, yは0.863856, thetaは71.083340
スキャン番号: 290, ロボットのxは-0.090874, yは0.912181, thetaは71.334692
スキャン番号: 291, ロボットのxは-0.062522, yは0.937354, thetaは65.723795
スキャン番号: 292, ロボットのxは-0.051181, yは0.958908, thetaは58.604054
スキャン番号: 293, ロボットのxは-0.050047, yは0.960766, thetaは57.026961
スキャン番号: 294, ロボットのxは-0.051603, yは0.958319, thetaは56.354184
スキャン番号: 295, ロボットのxは-0.052585, yは0.956827, thetaは55.049139
スキャン番号: 296, ロボットのxは-0.053254, yは0.955856, thetaは53.959567
スキャン番号: 297, ロボットのxは-0.052634, yは0.956677, thetaは52.233229
スキャン番号: 298, ロボットのxは-0.051831, yは0.957600, thetaは49.651959
スキャン番号: 299, ロボットのxは-0.051149, yは0.958371, thetaは45.910547
スキャン番号: 300, ロボットのxは-0.050914, yは0.958556, thetaは45.789263
スキャン番号: 301, ロボットのxは-0.050696, yは0.958713, thetaは44.965453
スキャン番号: 302, ロボットのxは-0.050217, yは0.959107, thetaは43.130982
スキャン番号: 303, ロボットのxは-0.049024, yは0.960135, thetaは40.329219
スキャン番号: 304, ロボットのxは-0.047705, yは0.961121, thetaは36.378744
スキャン番号: 305, ロボットのxは-0.046401, yは0.961820, thetaは26.791289
スキャン番号: 306, ロボットのxは-0.045018, yは0.962319, thetaは5.807559
スキャン番号: 307, ロボットのxは-0.046236, yは0.962191, thetaは-12.352855
スキャン番号: 308, ロボットのxは-0.047328, yは0.962429, thetaは-20.530333
スキャン番号: 309, ロボットのxは-0.047778, yは0.962666, thetaは-25.385966
スキャン番号: 310, ロボットのxは-0.047713, yは0.962586, thetaは-26.547734
スキャン番号: 311, ロボットのxは-0.047161, yは0.962148, thetaは-29.179051
スキャン番号: 312, ロボットのxは-0.045461, yは0.961065, thetaは-31.569468
スキャン番号: 313, ロボットのxは-0.043052, yは0.958990, thetaは-35.370169
スキャン番号: 314, ロボットのxは-0.038721, yは0.955124, thetaは-39.880911
スキャン番号: 315, ロボットのxは-0.036609, yは0.953123, thetaは-42.416697
スキャン番号: 316, ロボットのxは-0.034524, yは0.951056, thetaは-44.935115
スキャン番号: 317, ロボットのxは-0.033285, yは0.923900, thetaは-52.164861
スキャン番号: 318, ロボットのxは-0.037442, yは0.866928, thetaは-63.164730
スキャン番号: 319, ロボットのxは0.006530, yは0.776390, thetaは-71.978047
スキャン番号: 320, ロボットのxは-0.029771, yは0.703868, thetaは-85.858302
スキャン番号: 321, ロボットのxは0.024902, yは0.589568, thetaは-91.419080
スキャン番号: 322, ロボットのxは0.037122, yは0.526588, thetaは-91.203203
スキャン番号: 323, ロボットのxは0.040076, yは0.452852, thetaは-87.890686
スキャン番号: 324, ロボットのxは0.045575, yは0.383710, thetaは-85.613147
スキャン番号: 325, ロボットのxは0.052612, yは0.290599, thetaは-85.498908
スキャン番号: 326, ロボットのxは0.066496, yは0.197779, thetaは-86.733381
スキャン番号: 327, ロボットのxは0.052816, yは0.083850, thetaは-89.347719
スキャン番号: 328, ロボットのxは0.068716, yは-0.024236, thetaは-91.503165
スキャン番号: 329, ロボットのxは0.056354, yは-0.156752, thetaは-92.901898
スキャン番号: 330, ロボットのxは0.061040, yは-0.249094, thetaは-93.177807
スキャン番号: 331, ロボットのxは0.043984, yは-0.365940, thetaは-92.233169
スキャン番号: 332, ロボットのxは0.029278, yは-0.525143, thetaは-92.032830
スキャン番号: 333, ロボットのxは0.037110, yは-0.633208, thetaは-92.210022
スキャン番号: 334, ロボットのxは0.040689, yは-0.750886, thetaは-93.364786
スキャン番号: 335, ロボットのxは0.005884, yは-0.877292, thetaは-94.440906
スキャン番号: 336, ロボットのxは0.012468, yは-0.980281, thetaは-95.350059
スキャン番号: 337, ロボットのxは0.002262, yは-1.044399, thetaは-95.963870
スキャン番号: 338, ロボットのxは-0.006314, yは-1.137198, thetaは-96.778879
スキャン番号: 339, ロボットのxは-0.029075, yは-1.218122, thetaは-96.836435
スキャン番号: 340, ロボットのxは-0.034376, yは-1.286013, thetaは-97.079232
スキャン番号: 341, ロボットのxは-0.051623, yは-1.350948, thetaは-97.670099
スキャン番号: 342, ロボットのxは-0.058323, yは-1.419378, thetaは-98.053529
スキャン番号: 343, ロボットのxは-0.078847, yは-1.491587, thetaは-98.446644
スキャン番号: 344, ロボットのxは-0.078808, yは-1.572867, thetaは-99.154625
スキャン番号: 345, ロボットのxは-0.098464, yは-1.633956, thetaは-100.346748
スキャン番号: 346, ロボットのxは-0.114058, yは-1.737355, thetaは-103.014806
